# Number of fleets 
3 
# Catch unit for each fleet (0-Number(Million); 1-Biomass(1000mt)) 
0 0 0
0 0 0
# Start size bin of selectivity for each fleet 
1 1 1
1 1 1
# End size bin of selectivity for each fleet 
25 25 25
25 25 25
# Likelihood function of length composition data for each fleet (1-multinomial; 2-robust normal) 
1 1 1
1 1 1
# Likelihood function of total catch for each fleet 
4 4 4
4 4 4
# Likelihood function of CPUE for each fleet 
4 4 4
4 4 4
# Lambda value of composition component in objective function for each fleet 
1 1 1
1 1 1
# Lambda value of total catch in objective function for each fleet 
1 1 1
1 1 1
# Lambda value of CPUE in objective function for each fleet 
0 0 0
0 0 0
# Number of data points for catch data 
180 
# #Year, timestep, Fleet, Total Catch 
2009	1	2	192.3301	0.1	-1	1	-1	29.98	0.9231	0.8627	0.406	0.2997	0.0949	0.3282	2.9708	4.9673	4.9728	3.3333	1.5324	1.7897	4.3647	6.6254	16.8504	40.1879	54.0375	34.2428	10.513	2.7136	0.2282	0.0857	0	0	0
2010	1	2	425.343	0.1	-1	1	-1	23.51	2.667	1.282	0.8415	0.6359	1.6811	6.5913	10.8329	10.4521	8.2906	6.4557	7.3221	9.1318	11.1378	14.9076	25.5198	51.5513	99.5608	98.4523	46.4977	10.3828	1.0398	0.1091	0	0	0
2011	1	2	529.1485	0.1	-1	1	-1	18.9	1.5882	1.0875	1.2702	1.6167	4.4778	16.2295	26.5771	18.5439	7.1955	6.2239	14.3406	20.0189	20.6818	32.2867	67.6883	118.2863	97.0449	42.0084	21.6615	8.5498	1.5442	0.214	0.0126	0	0
2012	1	2	246.9756	0.1	-1	1	-1	56.89	0.3495	0.2337	0.1721	0.1716	0.5495	1.785	2.9747	2.3619	3.8768	5.1931	5.8317	11.1275	27.8458	67.3133	68.0567	30.5584	13.5683	4.1223	0.7236	0.1518	0.0082	0	0	0	0
2013	1	2	26.4118	0.1	-1	1	-1	108	0.0179	0.0384	0.0403	0.0414	0.0754	0.1094	0.1616	0.1202	0.0896	0.1346	0.168	0.5215	1.3664	3.2552	6.03	6.6423	5.0835	2.0136	0.4371	0.0634	0	0.002	0	0	0
1984	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1985	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1986	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1987	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1988	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
